Story,ID,Epic,Assignee,Status,Priority,Estimate,Tasks,Description,Acceptance,Branch
Run every agent through one harness,S0.1,0. Agent harness,Prachit,Done,P0,4,WU-00,"A single wrapper applies trace span, budget check, cache lookup, Model Armor, schema validation, one bounded repair, retry with circuit breaking, fail-safe resolution, audit append and metrics to every agent. Built once it makes fourteen agents cheap to add; built per agent it will be inconsistent by Monday night and missing entirely in two places. This blocks every other story in the project.","A trivial agent wrapped in the harness emits a trace span, an audit row carrying cache age, and resolves to its fail state on a forced error rather than raising.",epic/0-harness
Declare what each agent is allowed to touch,S0.2,0. Agent harness,Prachit,Done,P0,1,WU-00,"Every agent ships a HarnessPolicy whose tools tuple is the capability boundary rather than documentation: the harness refuses any tool call whose name is absent from it. Triage and MediaTriage declare an empty tuple, so the two components that read hostile content can call nothing at all. This is how the trust boundary is enforced in code instead of by convention.","An agent attempting a tool outside its declared policy is refused, proven by test. Triage declares an empty tuple.",epic/0-harness
Register a performer and their aliases,S1.1,1. Consent Registry,Prachit,Done,P0,1,"WU-01, WU-02","Create and store a performer record: legal name, stage names and aliases, and the reference images used later for reverse-image discovery. Aliases matter more than they look - infringing listings rarely use a performer's exact legal name, and every downstream sweep and name-match guardrail resolves against this record.","A performer can be created, retrieved and listed; aliases and reference image URIs round-trip intact.",epic/1-consent-registry
Extract a permission grant from a contract PDF,S1.2,1. Consent Registry,Prachit,Ready,P1,1.5,WU-03,"Upload a signed agreement and have Gemini populate the six fields that define a permission slip: performer, licensee, permitted uses, territories, and the validity window. This is the step that converts unstructured legal language into something a machine can reason over, and it is the only reason the registry can exist at all.",A PDF upload produces a populated draft grant with all six fields attempted.,epic/1-consent-registry
Cite the source sentence for every extracted field,S1.3,1. Consent Registry,Prachit,Ready,P1,0.5,WU-03,"Each extracted field carries the verbatim sentence and page number it came from, displayed directly beneath it. A lawyer will not trust an AI extraction they cannot verify in two seconds. Citations are what make the registry defensible rather than merely convenient, and they cost almost nothing to produce.",Every populated field displays its verbatim source sentence and page number.,epic/1-consent-registry
Review and correct a grant before it is saved,S1.4,1. Consent Registry,Prachit,Ready,P1,0.5,WU-03,"The extraction lands in an editable form, not straight into the database. A human confirms or corrects each field and explicitly saves. Every verdict the product ever produces resolves against this table, so a wrong grant silently poisons everything downstream - the one place worth a human gate.",No consents row is written without an explicit human save; edits persist.,epic/1-consent-registry
Browse the registry,S1.5,1. Consent Registry,Prachit,Done,P0,1.5,WU-22,"A view listing performers and their grants, showing permitted uses, territories and validity window at a glance, with clause quotes on expand. This is where a user confirms what the system believes before trusting any verdict it produces.",Registry view lists performers with their grants and the underlying clause quotes.,epic/1-consent-registry
Manufacture the demo fixtures,S10.1,10. Submission,Swara,In Progress,P0,2.5,WU-35,"Generate the fictional performer's reference images with Imagen 3 and a fake cloned-voice clip with TTS, then write their contract PDF with clauses that produce one cleared and one blocked asset. Every synthetic asset in the demo is one we made, of a person who does not exist - which is both the clean answer to demo safety and a strong line to say on camera.",No real person's likeness appears anywhere in the submission.,epic/10-submission
Prove the required services actually ran,S10.2,10. Submission,Vedant,Ready,P0,0.5,WU-37,"Screenshots of the Parallel call log and the Google Cloud console showing the services genuinely invoked. The rules require evidence that the integration was called, not merely named - this is a disqualification risk, not a nice-to-have.","Evidence shows calls made, with timestamps.",epic/10-submission
Script and record the demo video,S10.3,10. Submission,Swara,Ready,P0,3.5,WU-36,"A scripted three-minute demo, timed by reading it aloud rather than estimated. Opens on the real precedent, shows a live sweep and a territory-scoped verdict, catches a planted injection attempt, and closes on the clearance view proving the registry works in both directions.","Public on YouTube or Vimeo, under 3:00, English or subtitled.",epic/10-submission
Write the Devpost submission,S10.4,10. Submission,Swara,Ready,P0,1.5,WU-36,"The writeup, led by the precedent framing - the AI Darth Vader case, where a grant existed and the dispute was whether it covered that use - plus the explicit scope boundary and the architecture. Naming what we do not claim scores better than an overclaim a judge can puncture.","Writeup submitted with the precedent, scope boundary and architecture included.",epic/10-submission
Walk the final checklist,S10.5,10. Submission,Swara,Ready,P0,0.5,WU-36,"Walk the submission checklist end to end before noon PDT: hosted URL live, video public and under three minutes, repository public with a complete license, track selected, form completed, runtime evidence attached. Late or incomplete scores zero regardless of quality.",Every checklist box ticked before 12:00 PDT on 9 September.,epic/10-submission
Prove a hostile page cannot move a verdict,S11.1,11. Evaluation,Vedant,Ready,P0,2,WU-31,"An adversarial evalset of pages carrying injection attempts, asserting the verdict is identical to the clean version of the same page. This is a security regression test written in the evaluation harness the framework already ships, it runs on every commit, and it is thirty seconds of unusually good demo footage. Most submissions will have no eval suite at all, let alone an adversarial one.",The adversarial evalset passes: every injected page produces the same verdict as its clean counterpart.,epic/11-evaluation
Prove the rule engine deterministically,S11.2,11. Evaluation,Vedant,Ready,P0,1,WU-31,"Evalsets covering all seven verdict branches plus territory scoping, and the three clearance states. Because the rule engine makes no model call these are exact-match assertions, so they are fast, stable and free to run in CI. The entire product rests on this component being right, which makes it the highest return per hour of testing in the project.","Every verdict branch is covered including authorised in US and unauthorised in EU, with no model call in the test path.",epic/11-evaluation
Run evaluations on every commit,S11.3,11. Evaluation,Vedant,Ready,P1,1,WU-31,"Wire the eval CLI and pytest into CI so a regression in extraction quality or injection resistance is caught before it reaches the demo, rather than discovered while recording at one in the morning.",CI runs the deterministic evalsets and the adversarial evalset on every commit and fails the build on regression.,epic/11-evaluation
Settle the Parallel API questions,S2.1,2. Web Discovery,Vedant,Done,P0,0.5,WU-04,"Read Parallel's API reference and answer two things: which region and language parameters Search exposes, and whether the Extract API returns full page content. Both change the design - locale parameters shape every web cache key, and Extract could replace our own page fetcher entirely, which would deepen the partner integration and redraw four diagrams.",Answers recorded in CLAUDE.md; the agent side and the architecture freeze are unblocked.,epic/2-web-discovery
"Plan a multi-language, multi-modality sweep",S2.2,2. Web Discovery,Vedant,Ready,P0,2,WU-06,"Generate the search plan: performer name and aliases crossed with modality terms - AI voice, voice clone, deepfake ad, AI avatar - across at least five locales spanning four languages. A cloned-voice listing written in Portuguese is completely invisible to an English-only sweep, and since territory determines the verdict, language coverage is correctness, not polish.",Plan output includes non-English queries across five or more locales.,epic/2-web-discovery
Sweep the open web through Parallel,S2.3,2. Web Discovery,Vedant,In Progress,P0,2,WU-05,"Call Parallel's Search API through the official parallel-web SDK for every planned query, logging each call with query, locale, result count and timestamp. The competition rules are explicit that the integration must be present in code and demonstrably called at runtime, not merely named in a README - so the call log is both an engineering artifact and submission evidence.",SDK imported and called; call log visible on screen and screenshot-ready.,epic/2-web-discovery
Discover misuse that carries no text,S2.4,2. Web Discovery,Vedant,Ready,P2,2,WU-32,"Some misuse announces itself in words; some does not. An image posted with no caption is invisible to any search API. Reverse-image discovery through Cloud Vision web detection finds pages hosting visually similar imagery, widening coverage past what language can reach. First thing to cut if time runs short.",A reference image yields candidate pages.,epic/2-web-discovery
Never create a duplicate finding,S2.5,2. Web Discovery,Vedant,Ready,P0,1.5,WU-07,"Candidates are de-duplicated on a URL hash, so re-running a sweep updates the existing finding in place rather than creating a second one. This is what makes sweeps safely repeatable, which is in turn what makes scheduled monitoring possible at all.",Running the same sweep twice produces no duplicate rows.,epic/2-web-discovery
Watch continuously instead of on demand,S2.6,2. Web Discovery,Vedant,Ready,P2,1,WU-33,Scheduled sweeps with per-performer cadence and jittered timing so a large roster does not burst the API. On-demand sweeps are a demo; continuous monitoring is the product. The date a finding was first seen only means something if something was actually watching.,A scheduled run appears in audit_log even when it finds nothing.,epic/2-web-discovery
Find cloned voices sold as audio samples,S2.7,2. Web Discovery,Vedant,Ready,P1,2,WU-26,"Voice cloning is sold as audio samples on marketplaces, so a text-only sweep finds the listing page but never confirms the offering is real. AudioSweep searches audio-oriented sources and pulls each sample into storage. It discovers and downloads only, and never analyses, because analysis of untrusted media belongs to the component that holds no capability.","A sweep returns candidate URLs plus a storage URI for each downloaded sample, and performs no model analysis itself.",epic/2-web-discovery
Find synthetic likenesses in video ads,S2.8,2. Web Discovery,Vedant,Ready,P1,2,WU-27,"Synthetic endorsements run as video ads, which text search can surface but cannot verify. VideoSweep searches video-oriented sources and downloads candidates for later analysis. Same discipline as the audio sweep: discovery and download only.","A sweep returns candidate video URLs and their storage URIs, and performs no model analysis itself.",epic/2-web-discovery
Download third-party media without getting exploited,S2.9,2. Web Discovery,Vedant,Ready,P1,1.5,WU-28,"The media fetcher takes attacker-supplied URLs exactly as the page fetcher does, so it carries the same guards: private and link-local ranges blocked, non-HTTP schemes rejected, every redirect re-validated, size capped, no cookies or credentials sent. It writes content-addressed by hash, so the same media fetched twice costs one download and one analysis.","A private-range URL and a redirect to a private address are both rejected, and the same media URL fetched twice produces exactly one stored object.",epic/2-web-discovery
Fetch third-party pages without getting exploited,S3.1,3. Safe Page Reading,Vedant,Ready,P0,2,WU-08,"The fetcher accepts attacker-supplied URLs, so it blocks private and link-local address ranges, rejects non-HTTP schemes, re-validates after every redirect, caps response size, and sends no credentials or cookies. Skipping this turns a compliance tool into an internal-network scanner for anyone who can get a URL into our queue.","Private-range, file scheme and redirect-to-internal URLs are all rejected.",epic/3-safe-page-reading
Turn a page into structured observations,S3.2,3. Safe Page Reading,Vedant,Ready,P0,2,WU-09,"Ask Gemini a fixed set of questions about the page - is a named real person depicted, does the page itself claim an AI copy, which modality, is it commercial, which territories does it target, and quote the proof - using forced function calling so the answer is always schema-valid or explicitly failed. The narrow schema is the guardrail: an extractor with no free-form output channel has nowhere to misbehave.",Output is always a valid TriageExtraction or an explicit failure. Never prose.,epic/3-safe-page-reading
Reject fabricated or drifted extractions,S3.3,3. Safe Page Reading,Vedant,Ready,P0,1.5,WU-10,"Validators run on every extraction: the evidence quote must be a verbatim substring of the source text, territories must be valid ISO codes, confidence must be in range, and the named person must fuzzy-match the performer being swept. The substring check is the highest-value guardrail in the system - one string comparison, and quote hallucination becomes structurally impossible.","A fabricated quote is rejected, proven by test.",epic/3-safe-page-reading
Catch pages that try to instruct the agent,S3.4,3. Safe Page Reading,Vedant,Ready,P1,0.5,WU-11,"SUPERSEDED BY S3.6 - Model Armor replaces the hand-rolled regex detector. Keep this story only for the UI surface: a detection sets injection_suspected on the finding and shows a badge, so the system visibly labels the attempt rather than obeying it. Structurally a missed injection cannot change a verdict anyway, because the reconciler never receives page text.","A planted injection page is flagged, not obeyed.",epic/3-safe-page-reading
Analyse downloaded media without any capability,S3.5,3. Safe Page Reading,Vedant,Ready,P1,2,WU-29,"MediaTriage reads audio and video with Gemini multimodal and returns structured observations: is a named person referenced, is a human voice present, a transcript excerpt, does the content match what the seller claims. It runs inside the isolated triage deployment with no tools, because downloaded media is untrusted in exactly the way a web page is. It must never phrase output as identity confirmation.","An audio sample yields a transcript excerpt and a confidence value, and no output claims that a voiceprint matches a specific person.",epic/3-safe-page-reading
Screen prompts and responses with Model Armor,S3.6,3. Safe Page Reading,Vedant,Ready,P0,1.5,WU-29,"Model Armor replaces the hand-rolled regex injection detector, since a first-party service is both better and more defensible. It is configured per trust context: inspect-only on the triage path, because a page trying to manipulate us is frequently the very page that is infringing and blocking would suppress the finding, and inspect-and-block on dossier output, because a takedown notice must never carry leaked PII or a malicious URL.",An injection attempt sets injection_suspected and surfaces a badge; a dossier draft containing a malicious URL is blocked.,epic/3-safe-page-reading
Decide a verdict against the registry,S4.1,4. Verdicts,Vedant,Ready,P0,2,WU-12,"Evaluate seven ordered checks in plain code: does a grant exist for this performer, does it cover this modality, are all target territories inside it, is today within the validity window, is the actor actually the licensee, is confidence sufficient. No model call happens in this module. The model observes; code decides. That makes the verdict testable, explainable, and immune to persuasion.",No model call exists in the reconciler; verdict returns with the failing check named.,epic/4-verdicts
"Judge per territory, not globally",S4.2,4. Verdicts,Vedant,Ready,P0,1,"WU-12, WU-13","A synthetic voice licensed for North America is infringing in Japan, so the verdict compares where an offering is aimed against the territories the grant covers. The output reads: licensed for US and CA, this listing prices in BRL and targets Brazil, unauthorised. This is what rights management actually looks like, and it is the detail that reads as domain understanding rather than a wrapper around a search API.",Territory-scoped verdicts are expressible and unit-tested.,epic/4-verdicts
Cite the evidence behind every verdict,S4.3,4. Verdicts,Vedant,Ready,P0,1,"WU-12, WU-22","No verdict is written without the evidence quote, the URL, and the matched or breached clause. Uncited verdicts are rejected outright rather than displayed with a caveat. This is the difference between a tool a lawyer can act on and one whose output they have to reproduce by hand anyway.",Verdicts lacking a citation are rejected before storage.,epic/4-verdicts
Send doubt to a human instead of guessing,S4.4,4. Verdicts,Vedant,Ready,P0,0.5,WU-12,"Confidence below threshold produces an ambiguous verdict and routes to a review queue. The product's entire value is that its verdicts can be relied on, and that requires it to say clearly when it does not know. A confident wrong answer is worse here than no answer.",Low-confidence findings land in a human queue rather than receiving a verdict.,epic/4-verdicts
"Fail toward doubt, never toward permission",S4.5,4. Verdicts,Vedant,Ready,P0,1.5,WU-14,"Every failure mode resolves toward ambiguous, unverified or degraded - never toward authorised or cleared. A crash that produces no findings must be distinguishable from a clean sweep that found nothing, because a human signs off on the result either way. A compliance tool that fails quietly is worse than no tool at all.",A schema failure yields ambiguous; an API failure marks the sweep degraded.,epic/4-verdicts
Prove the rule engine with tests,S4.6,4. Verdicts,Vedant,Ready,P0,1.5,WU-13,"Unit tests covering every branch of the rule engine, including the territory-scoping case. The whole product rests on this one component being right, and because it is deterministic with no model call, testing it properly is cheap. This is the highest return per hour of test writing in the project.","All seven branches covered plus the authorised-in-US, unauthorised-in-EU case.",epic/4-verdicts
Preserve evidence permanently,S5.1,5. Enforcement Output,Vedant,Ready,P1,2,WU-15,"Capture page text and a screenshot at the moment of discovery into immutable storage with no expiry. The infringing page will be taken down - that is the entire point of a takedown - so evidence stored in a cache that expires would leave the case file worthless exactly when it matters. Evidence is not cache, and conflating the two is a real bug.",A snapshot remains retrievable after the source page is removed.,epic/5-enforcement-output
Assemble a case file a lawyer can act on,S5.2,5. Enforcement Output,Vedant,Ready,P1,1,WU-16,"Bundle the URL, preserved snapshot, evidence quote and the specific breached clause into one artifact that requires no re-research. This is the step that replaces roughly a day of paralegal work per incident, and it is where the product's value becomes legible to a buyer.",The case file names the specific clause it relies on.,epic/5-enforcement-output
Draft the takedown notice,S5.3,5. Enforcement Output,Vedant,Ready,P1,1,WU-16,"Generate a notice grounded strictly in the evidence bundle, presented as editable text with copy-out. It states evidence and rule mismatch and stops there - it does not assert legal conclusions, because we are not offering legal advice and should not appear to.",Every URL and quote in the draft appears in the evidence bundle.,epic/5-enforcement-output
