Task,WU,Epic,Assignee,Status,Priority,Estimate,Depends On,Stories,Description,Acceptance,Branch,Notes,Prompt
Build the agent harness,WU-00,0. Agent harness,Prachit,Done,P0,4,,"S0.1, S0.2","One wrapper applying trace span, budget, cache, Model Armor, validation, one bounded repair, retry with circuit breaking, fail-safe resolution, audit and metrics to every agent. HarnessPolicy.tools is the capability boundary, enforced in code. BLOCKS EVERY OTHER WORK UNIT.","A wrapped trivial agent emits a span, an audit row with cache age, and resolves to its fail state on a forced error.",epic/0-harness,"Done 7 Sep, merged to main. 23 tests. Harness ports are no-ops until WU-18, WU-19, WU-29 and WU-30 land.",BUILD_PROMPTS.md WU-00
Firestore store,WU-01,1. Consent Registry,Prachit,Done,P0,3,WU-00,S1.1,"FirestoreStore implementing the Store ABC. Findings use url_hash as the document id, which gives upsert idempotency for free. audit_log is append-only with no update or delete.",Every record type round-trips; writing the same finding twice leaves one document.,epic/1-consent-registry,"Done 7 Sep on epic/1-consent-registry. 36 tests, 11 against the real project. Firestore live in us-central1.",BUILD_PROMPTS.md WU-01
Seed loader,WU-02,1. Consent Registry,Prachit,Ready,P0,1,WU-01,S1.1,"Load fixtures/seed.json into the store, idempotently, with a reset flag.","A seeded database holds 1 performer, 1 consent, 4 findings, 3 assets; a second run changes nothing.",epic/1-consent-registry,,BUILD_PROMPTS.md WU-02
Consent ingestion,WU-03,1. Consent Registry,Prachit,Ready,P1,2.5,"WU-00, WU-01","S1.2, S1.3, S1.4","Contract PDF to a draft grant via forced function calling, with a verbatim source sentence and page number for every populated field. Returns a draft; the human save is the web layer job.","A PDF produces a draft with all six fields attempted, each carrying a verbatim quote and page number.",epic/1-consent-registry,,BUILD_PROMPTS.md WU-03
Parallel API research,WU-04,2. Web Discovery,Vedant,Done,P0,0.5,,S2.1,"ANSWERED 7 Sep. Locale is supported via location as ISO alpha-2; queries may be written in any language. Extract returns compressed excerpts, not full pages. search_queries takes 2-3 queries of 3-6 words each.",Answers recorded in CLAUDE.md. Do not redo this.,epic/2-web-discovery,Answered 7 Sep. Do not redo. Findings are in CLAUDE.md and VERSION.md v1.0.0.,BUILD_PROMPTS.md WU-04
parallel_search tool,WU-05,2. Web Discovery,Vedant,Ready,P0,2,"WU-00, WU-04",S2.3,"The judged partner integration, via the official parallel-web SDK. Every call logged with queries, locale, result count and timestamp, because the rules require the integration be called at runtime and that log is submission evidence.","SDK imported and called; the log shows queries, location and result count.",epic/2-web-discovery,,BUILD_PROMPTS.md WU-05
QueryPlanner,WU-06,2. Web Discovery,Vedant,Ready,P0,2,WU-00,S2.2,"Produces search batches: an objective plus 2-3 keyword queries of 3-6 words, across 5+ locales and 4+ languages, written IN the target language.",The plan contains genuinely non-English queries and every batch holds 2-3 short queries.,epic/2-web-discovery,,BUILD_PROMPTS.md WU-06
TextSweep and dedupe,WU-07,2. Web Discovery,Vedant,Ready,P0,1.5,"WU-05, WU-06",S2.5,"Runs the plan through parallel_search and upserts findings deduplicated on a normalised URL hash, so sweeps are safely repeatable.",Running the same sweep twice produces zero duplicate rows.,epic/2-web-discovery,,BUILD_PROMPTS.md WU-07
fetch_page with SSRF guards,WU-08,3. Safe Page Reading,Vedant,Ready,P0,2,WU-00,S3.1,"The untrusted-input boundary of the whole system. Blocks private and link-local ranges, rejects non-HTTP schemes, re-validates after every redirect, caps size, sends no credentials.","Private-range, file scheme and redirect-to-private URLs are all rejected, with tests.",epic/3-safe-page-reading,,BUILD_PROMPTS.md WU-08
Triage extractor,WU-09,3. Safe Page Reading,Vedant,Ready,P0,2,WU-08,S3.2,"Page text to a schema-constrained TriageExtraction using forced function calling, with no tools. Page content goes in a delimited data block and never into a system prompt.",Output is always a valid extraction or an explicit failure. Never prose.,epic/3-safe-page-reading,,BUILD_PROMPTS.md WU-09
Extraction validators,WU-10,3. Safe Page Reading,Vedant,Ready,P0,1.5,WU-09,S3.3,"The evidence quote must be a verbatim substring of the source, the person must fuzzy-match the registry, territories must be valid ISO codes. One string comparison makes quote hallucination structurally impossible.","A fabricated quote is rejected, proven by test.",epic/3-safe-page-reading,,BUILD_PROMPTS.md WU-10
Injection badge in the UI,WU-11,3. Safe Page Reading,Vedant,Ready,P1,0.5,WU-29,S3.4,"Surface Model Armor detections as injection_suspected with a badge, so the system visibly labels an attempt rather than obeying it. Demo footage.",A planted injection page is flagged and its verdict is unchanged.,epic/3-safe-page-reading,,BUILD_PROMPTS.md WU-11
Reconciler rule engine,WU-12,4. Verdicts,Vedant,Ready,P0,2,WU-01,"S4.1, S4.2, S4.3, S4.4","Seven ordered checks in plain code with NO model call. Receives structured findings plus registry rows, never page text. Every verdict records its failing check and a citation.",No model call in the module; every verdict names its failing check and carries a citation.,epic/4-verdicts,,BUILD_PROMPTS.md WU-12
Rule engine tests,WU-13,4. Verdicts,Vedant,Ready,P0,1.5,WU-12,"S4.2, S4.6","All seven branches plus territory scoping. The whole product rests on this component and it is deterministic, so it is the highest return per hour of testing in the project.",Every branch covered including authorised in US and unauthorised in EU.,epic/4-verdicts,,BUILD_PROMPTS.md WU-13
"Retry, backoff, circuit breaker",WU-14,4. Verdicts,Vedant,Ready,P0,1.5,WU-00,"S4.5, S8.3","Classify before retrying: transient gets backoff with jitter, permanent gets none, semantic gets one repair. A breaker marks a sweep degraded rather than rendering a partial sweep as complete.",A 401 is not retried; N consecutive failures mark the sweep degraded.,epic/4-verdicts,,BUILD_PROMPTS.md WU-14
Evidence store and snapshots,WU-15,5. Enforcement Output,Vedant,Ready,P1,2,WU-00,S5.1,"Immutable page text and screenshot captured at discovery, no TTL. The infringing page will be taken down, so evidence stored in a cache that expires would be worthless exactly when needed.",A snapshot remains retrievable after the source page is removed.,epic/5-enforcement-output,,BUILD_PROMPTS.md WU-15
Dossier writer,WU-16,5. Enforcement Output,Vedant,Ready,P1,2,WU-15,"S5.2, S5.3, S5.4",Evidence bundle plus a draft notice grounded strictly in it. No send capability exists anywhere in the product.,The case file names the specific breached clause and no send path exists in code or UI.,epic/5-enforcement-output,,BUILD_PROMPTS.md WU-16
Clearance pipeline,WU-17,6. Delivery Clearance,Prachit,Ready,P1,6.5,WU-12,"S6.1, S6.2, S6.3, S6.4","Asset ingest with provenance, vendor paperwork parsing, multimodal inspection on a low-bitrate proxy, then the SAME rule engine. Default is unverified: we prove coverage, we do not detect AI.",Two uploads give one cleared and one blocked; no paperwork stays unverified.,epic/6-delivery-clearance,,BUILD_PROMPTS.md WU-17
Audit helper,WU-18,7. Auditability,Prachit,Ready,P0,1,WU-01,"S7.1, S7.2","A one-line decorator every agent and tool uses to append an audit event carrying inputs, tool calls, output, prompt version, from_cache and cache_age_s. If it is awkward to use people will skip it.",Every tool call produces an audit row carrying cache age.,epic/7-auditability,,BUILD_PROMPTS.md WU-18
Cache: Firestore TTL and GCS,WU-19,8. Performance and Resilience,Prachit,Ready,P0,3,WU-01,"S8.1, S8.2","Two regimes. Content-addressed with no TTL for uploads and media; TTL-based for web content, keyed with locale and prompt_version. Firestore native TTL for small entries, GCS content-addressed for blobs. No Redis.",The same file processed twice makes one model call; changing locale or prompt_version misses the cache.,epic/8-performance-resilience,,BUILD_PROMPTS.md WU-19
DEMO_MODE,WU-20,8. Performance and Resilience,Vedant,Ready,P0,1,WU-19,S8.4,"The full pipeline runs from cache with zero external calls. The video shoot cannot die on a rate limit at 1am, and the warm cache survives redeploys because it lives in Firestore and GCS.",A full sweep completes with networking disabled.,epic/8-performance-resilience,,BUILD_PROMPTS.md WU-20
App shell,WU-21,9. Deployment,Prachit,Ready,P0,1,,S9.1,"FastAPI and Jinja with navigation across three views. Deliberately minimal: no auth, no framework ceremony.",Serves locally with navigation between the three views.,epic/9-deployment,,BUILD_PROMPTS.md WU-21
Registry and findings views,WU-22,9. Deployment,Prachit,Ready,P0,4,"WU-21, WU-12","S1.5, S4.3, S9.2",Registry with clause quotes; findings queue colour-coded by verdict showing the evidence quote and which check failed. All third-party text escaped on output.,Every findings row shows a citation and its failing check; a script tag in page text renders inert.,epic/9-deployment,,BUILD_PROMPTS.md WU-22
"Trail, case file, clearance board",WU-23,9. Deployment,Prachit,Ready,P1,4.5,"WU-22, WU-16, WU-17","S5.4, S6.5, S7.3","Decision trail expanding to inputs and their age, case file with copy-out and no send button, and the production blockers list.",A verdict expands to its inputs and their age; the case file has no send action.,epic/9-deployment,,BUILD_PROMPTS.md WU-23
Four Agent Runtime deployments,WU-24,9. Deployment,Vedant,Ready,P0,2,,"S9.3, S9.6","Enforcement, triage, clearance and ingest deployed separately, each under its own service account. Triage is isolated because it alone ingests hostile content. Do this early, not on the final morning.",Four runtimes deployed and invoked remotely rather than in-process.,epic/9-deployment,,BUILD_PROMPTS.md WU-24
Cloud Run and Secret Manager,WU-25,9. Deployment,Prachit,Ready,P0,3,WU-21,"S9.4, S9.5","The hosted URL the submission requires, working from a cold start with no local dependencies, with secrets from Secret Manager rather than env files. Deploy 8 Sep, not 9 Sep.",Works from a fresh browser with nothing running locally; no secrets in env files.,epic/9-deployment,,BUILD_PROMPTS.md WU-25
AudioSweep,WU-26,2. Web Discovery,Vedant,Ready,P1,2,WU-28,S2.7,"Voice cloning is sold as audio samples on marketplaces. Discovers and downloads only; analysis belongs to MediaTriage, which holds no capability.","Returns candidate URLs plus a storage URI per sample, with no model analysis in this agent.",epic/2-web-discovery,,BUILD_PROMPTS.md WU-26
VideoSweep,WU-27,2. Web Discovery,Vedant,Ready,P1,2,WU-28,S2.8,Synthetic endorsements run as video ads. Same discipline: discovery and download only.,Returns candidate video URLs and their storage URIs.,epic/2-web-discovery,,BUILD_PROMPTS.md WU-27
fetch_media,WU-28,2. Web Discovery,Vedant,Ready,P1,1.5,WU-08,S2.9,"Same SSRF guards as fetch_page, writing content-addressed to the derived bucket so the same media fetched twice costs one download and one analysis.",Private-range and redirect-to-private URLs rejected; the same media fetched twice produces one object.,epic/2-web-discovery,,BUILD_PROMPTS.md WU-28
MediaTriage and Model Armor,WU-29,3. Safe Page Reading,Vedant,Ready,P1,3.5,WU-28,"S3.5, S3.6","Multimodal analysis of downloaded media inside the isolated runtime with no tools, plus Model Armor configured per trust context: inspect-only on triage, inspect-and-block on dossier output. Never claims speaker verification.",An audio sample yields a transcript and confidence; a dossier containing a malicious URL is blocked.,epic/3-safe-page-reading,,BUILD_PROMPTS.md WU-29
Observability,WU-30,8. Performance and Resilience,Prachit,Ready,P1,2.5,WU-00,"S8.5, S8.6","Traces with a span per agent, tool and candidate; structured logs that never carry page content; the fourteen metrics, of which extraction.validation_failures and model_armor.detections are what make a dashboard worth showing.",One sweep produces one full span tree and both security metrics are non-zero after the adversarial evalset.,epic/8-performance-resilience,,BUILD_PROMPTS.md WU-30
Evalsets,WU-31,11. Evaluation,Vedant,Ready,P0,4,WU-12,"S11.1, S11.2, S11.3",Five ADK evalsets. Build adversarial_injection FIRST: injected pages must produce a verdict identical to the clean version. verdict_matrix and clearance_matrix are deterministic and free to run in CI.,"adk eval passes on adversarial_injection and verdict_matrix, and both run in CI.",epic/11-evaluation,,BUILD_PROMPTS.md WU-31
ImageSweep,WU-32,2. Web Discovery,Vedant,Ready,P2,2,WU-08,S2.4,"Reverse-image discovery via Cloud Vision web detection, for images posted with no revealing caption. First thing to cut.",A reference image yields candidate pages.,epic/2-web-discovery,,BUILD_PROMPTS.md WU-32
Scheduled sweeps,WU-33,8. Performance and Resilience,Vedant,Ready,P2,1,WU-07,S2.6,"Cloud Scheduler to an OIDC-authed internal endpoint, tiered cadence, jittered enqueue. Writes an audit row even on an empty result, because a gap in the trail must mean we did not look.",A scheduled run appears in audit_log even when nothing is found.,epic/8-performance-resilience,,BUILD_PROMPTS.md WU-33
IAM and service accounts,WU-34,9. Deployment,Prachit,Ready,P0,1,"WU-24, WU-25",S9.7,"Six service accounts, least privilege, plus object versioning and a retention policy on the evidence bucket. The point is one property: no principal in the system can delete evidence.",A delete attempt on an evidence object fails from every service account.,epic/9-deployment,,BUILD_PROMPTS.md WU-34
Demo fixtures,WU-35,10. Submission,Swara,Ready,P0,2.5,,S10.1,"Reference images via Imagen 3, a cloned-voice clip via TTS, and the fictional contract PDF written so clearance yields one cleared and one blocked asset. Every synthetic asset is ours, of a person who does not exist.",The seeded demo runs end to end using only generated media.,epic/10-submission,,BUILD_PROMPTS.md WU-35
"Video, writeup and submission",WU-36,10. Submission,Swara,Ready,P0,5.5,"WU-20, WU-35","S10.3, S10.4, S10.5","A 3-minute script timed by reading aloud, recorded against DEMO_MODE, plus the Devpost writeup with the precedent framing and the explicit what-we-do-not-claim list, then the full checklist. Submit by 12:00 PDT.",Every checklist box ticked before noon on 9 September.,epic/10-submission,,BUILD_PROMPTS.md WU-36
